Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-10-20,1,Intro 1,Introduction to Counting the Mitzvot,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-21,2,Intro 2,Principle 1: Not rabbinic commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-22,3,Intro 3,Principle 2: Not derived through hermeneutics,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-23,4,Intro 4,Principle 3: Only perpetual commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-24,5,Intro 5,Principle 4: Not general Torah commands,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-25,6,Intro 6,Principle 5: Not reasons as separate mitzvot,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-26,7,Intro 7,Principle 6: Separate positive and negative,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-27,8,Intro 8,Principle 7: Not details of commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-28,9,Intro 9,Principle 8: Not negation of positive commands,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-29,10,Intro 10,"Principle 9: Count substance, not statements",https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-30,11,Intro 11,Principle 10: Not preliminaries to commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-10-31,12,Intro 12,Principle 11: Not parts of unified commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-11-01,13,Intro 13,Principle 12: Not work process components,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-11-02,14,Intro 14,Principle 13: Not repetition-based counting,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-11-03,15,Positive 1,To believe in God,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-11-04,16,Positive 2,This is the command that he commanded us about belief in [Go...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.2?lang=bi
2025-11-05,17,Positive 3,"That is that He commanded us about loving Him, may He be exa...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-11-06,18,Positive 4,"That is that He commanded us to believe in His awe, may He b...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-11-07,19,Positive 5,That is that we are commanded to serve Him,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-11-08,20,Positive 6,"That is that He commanded us to associate with the sages, to...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-11-09,21,Positive 7,That is that He commanded us to swear by His name when it is...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.7?lang=bi
2025-11-10,22,Positive 8,"That is that He commanded us to imitate Him, may He be exalt...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.8?lang=bi
2025-11-11,23,Positive 9,That is that He commanded us to sanctify His name,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-11-12,24,Positive 10,That is that He commanded us to read the recitation of Shema...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.10?lang=bi
2025-11-13,25,Positive 11,That is that He commanded us to study Torah and to teach it,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-14,26,Positive 12,That is that He commanded us to put on the head tefillin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-15,27,Positive 13,That is that He commanded us to put on the hand tefillin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
2025-11-16,28,Positive 14,That is that He commanded us to make tzitzit (fringes),https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-17,29,Positive 15,That is that He commanded us to make a mezuzah,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.15?lang=bi
2025-11-18,30,Positive 16,That is that He commanded us to assemble the people on the s...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-19,31,Positive 17,And that is that He commanded us that any king from our nati...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.17?lang=bi
2025-11-20,32,Positive 18,That is that He commanded us that every man among us should ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.18?lang=bi
2025-11-21,33,Positive 19,That is that He commanded us to bless Him after eating,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.19?lang=bi
