Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-10-20,1,Intro 1,Introduction to Counting the Mitzvot.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-21,2,Intro 2,Principle 1: Not rabbinic commandments.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-22,3,Intro 3,Principle 2: Not derived through hermeneutics.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-23,4,Intro 4,Principle 3: Only perpetual commandments.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-24,5,Intro 5,Principle 4: Not general Torah commands.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-25,6,Intro 6,Principle 5: Not reasons as separate mitzvot.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-26,7,Intro 7,Principle 6: Separate positive and negative.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-27,8,Intro 8,Principle 7: Not details of commandments.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-28,9,Intro 9,Principle 8: Not negation of positive commands.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-29,10,Intro 10,"Principle 9: Count substance, not statements.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-30,11,Intro 11,Principle 10: Not preliminaries to commandments.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-10-31,12,Intro 12,Principle 11: Not parts of unified commandments.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-11-01,13,Intro 13,Principle 12: Not work process components.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-11-02,14,Intro 14,Principle 13: Not repetition-based counting.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-11-03,15,Positive 1,We are commanded regarding belief in God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-11-03,16,Positive 2,We are commanded regarding belief in God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.2?lang=bi
2025-11-03,17,Positive 3,"We are commanded about loving Him, may He be exalted.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-11-03,18,Positive 4,"We are commanded to believe in His awe, may He be exalted, and to be afraid of Him.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-11-03,19,Positive 5,We are commanded to fear God.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-11-03,20,Positive 6,"We are commanded to associate with the sages, to gather with them and to constantly be involved with them in all manner of work and interaction in eating and drinking and business, so that it comes to us to imitate their actions and believe the truth of their words.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-11-03,21,Positive 7,We are commanded to swear by His name when it is necessary to ratify something or to deny it.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.7?lang=bi
2025-11-03,22,Positive 8,"We are commanded to imitate Him, may He be exalted, according to our ability.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.8?lang=bi
2025-11-03,23,Positive 9,We are commanded to sanctify His name.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-11-03,24,Positive 10,We are commanded to read the recitation of Shema in the evening and the morning.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.10?lang=bi
2025-11-03,25,Positive 11,We are commanded to study Torah and to teach it.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-03,26,Positive 12,We are commanded to put on the head tefillin.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-03,27,Positive 13,We are commanded to put on the hand tefillin.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
2025-11-03,28,Positive 14,We are commanded to make tzitzit (fringes).,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-03,29,Positive 15,We are commanded to make a mezuzah.,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.15?lang=bi
2025-11-03,30,Positive 16,"We are commanded to assemble the people on the second day of Sukkot at the end of the sabbatical year, and to read some sections of Deuteronomy so they can hear it.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-03,31,Positive 17,"We are commanded that any king from our nation that sits on the royal throne should write a Torah scroll for himself, and that it not be separated from him.",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.17?lang=bi
