Date,Sequential_Number,Mitzvah_Type_Number,Summary,Biblical_Source,Sefaria_Link
2025-10-20,1,Counting,Introduction to Counting the Mitzvos.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Introductions%2C_The_Rambam's_Introduction?lang=bi&with=Navigation&lang2=en
2025-10-21,2,Intro 1,Principle 1:That it is inappropriate to count rabbinic commandments in this category,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-22,3,Intro 2,Principle 2: That it is inappropriate to count anything that we learn from the thirteen hermeneutic principles through which the Torah is expounded or from a (formal technical) inclusion.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-23,4,Intro 3,Principle 3: That it is inappropriate to count commandments that are not practiced for [all] generations.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-24,5,Intro 4,Principle 4: That it is inappropriate to count commands that include the whole Torah.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-25,6,Intro 5,Principle 5: That it is inappropriate to count the reason for a commandment as a commandment on its own.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-26,7,Intro 6,"Principle 6: That it is appropriate with a commandment that includes [both] a positive commandment and a negative commandment, to count the positive commandment in it with the positive commandments and the negative commandment in it with the negative commandments.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-27,8,Intro 7,Principle 7: That it is inappropriate to count the details of the commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-28,9,Intro 8,Principle 8: That it is inappropriate to count the negation of a positive commandment with the negative commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-29,10,Intro 9,"Principle 9: That it is inappropriate to count the [statements] of the negative commandments and the positive commandments, but rather the items prohibited by them or commanded by them.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-30,11,Intro 10,Principle 10: That it is inappropriate to count preliminaries that are for one of various purposes.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-31,12,Intro 11,"Principle 11: That it is inappropriate to count each of the parts of a commandment on its own, when their combination is one commandment.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-11-01,13,Intro 12,"Principle 12: That it is inappropriate to count parts of work, that are required by a command, on their own.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-11-02,14,Intro 13,Principle 13: That the count of commandments not be increased according to the number of days that one is obligated in that commandment.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-11-02,14,Intro 14,"Principle 14: That it is inappropriate to count the enactment of (fences) [punishments] among the positive commandments.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-11-03,15,Positive 1,To know there is a G‑d,Shemos 20:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-11-04,16,Positive 2,We are commanded to believe in G-d's unity.,Shemos 20:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.2?lang=bi
2025-11-05,17,Positive 3,To know that He is one,Devarim 6:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-11-06,18,Positive 4,"We are commanded to believe in His awe, may He be exalted, and to be afraid of Him.",Devarim 6:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-11-07,19,Positive 5,We are commanded to serve G-d through prayer.,Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-11-08,20,Positive 6,"We are commanded to associate with the sages, to gather with them and to constantly be involved with them in all manner of work and interaction in eating and drinking and business, so that it comes to us to imitate their actions and believe the truth of their words.",Vayikra 22:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-11-09,21,Positive 7,We are commanded to swear by His name when it is necessary to ratify something or to deny it.,Vayikra 22:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.7?lang=bi
2025-11-10,22,Positive 8,"We are commanded to imitate Him, may He be exalted, according to our ability.",Devarim 12:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.8?lang=bi
2025-11-11,23,Positive 9,We are commanded to sanctify His name.,Devarim 18:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-11-12,24,Positive 10,Not to test the prophet unduly,Devarim 6:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.10?lang=bi
2025-11-13,25,Positive 11,We are commanded to study Torah and to teach it.,Devarim 28:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-14,26,Positive 12,We are commanded to put on the head tefillin.,Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-15,27,Positive 13,We are commanded to put on the hand tefillin.,Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
2025-11-16,28,Positive 14,We are commanded to make tzitzit (fringes).,Devarim 10:19,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-17,29,Positive 15,We are commanded to make a mezuzah.,Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.15?lang=bi
2025-11-18,30,Positive 16,"We are commanded to assemble the people on the second day of Sukkos at the end of the sabbatical year, and to read some sections of Devarim so they can hear it.",Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-19,31,Positive 17,"We are commanded that any king from our nation that sits on the royal throne should write a Torah scroll for himself, and that it not be separated from him.",Vayikra 19:17,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.17?lang=bi
2025-11-20,32,Positive 18,We are commanded that every man among us should write a Torah scroll for himself.,Shemos 22:21,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.18?lang=bi
2025-11-21,33,Positive 19,We are commanded to bless Him after eating.,Vayikra 19:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.19?lang=bi
2025-11-22,34,Positive 20,"We are commanded to build a choice house for Divine service, in which there will be sacrifices and an eternal burning of fire; and to which there will be journeying and pilgrimage on the festivals, and gatherings every year.",Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.20?lang=bi
2025-11-23,35,Positive 21,Not to bear a grudge,Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.21?lang=bi
2025-11-24,36,Positive 22,"We are commanded to guard the Temple and to constantly walk around it, to honor it, to exalt it and to aggrandize it.",Devarim 6:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-25,37,Positive 23,We are commanded to serve G-d.,Vayikra 19:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
