Date,Mitzvos,English Title(s),Source
2025-10-16,Intro 1,Introduction: Purpose of Learning Mitzvos,Sefer HaMitzvos
2025-10-17,Intro 2,Shorash 1: Belief in G-d,Sefer HaMitzvos
2025-10-18,Intro 3,Shorash 2: Love of G-d,Sefer HaMitzvos
2025-10-19,Intro 4,Shorash 3: Fear of G-d,Sefer HaMitzvos
2025-10-20,Intro 5,Shorash 4: Sanctification of G-d's Name,Sefer HaMitzvos
2025-10-21,Intro 6,Shorash 5: Cleaving to Torah Scholars,Sefer HaMitzvos
2025-10-22,Intro 7,Shorash 6: Emulation of G-d,Sefer HaMitzvos
2025-10-23,Intro 8,Shorash 7: Loving Fellow Jews,Sefer HaMitzvos
2025-10-24,Intro 9,Shorash 8: Loving Converts,Sefer HaMitzvos
2025-10-25,Intro 10,Shorash 9: Avoiding Hatred,Sefer HaMitzvos
2025-10-26,Intro 11,Shorash 10: Not Embarrassing Others,Sefer HaMitzvos
2025-10-27,Intro 12,Shorash 11: Not Oppressing the Weak,Sefer HaMitzvos
2025-10-28,Intro 13,Shorash 12: Not Gossiping,Sefer HaMitzvos
2025-10-29,Intro 14,Shorash 13: Rebuke Sinners,Sefer HaMitzvos
2025-10-30,Intro 15,Shorash 14: Giving Charity,Sefer HaMitzvos
2025-10-31,1,To know there is a G‑d,Shemos 20:2
2025-11-01,2,Not to entertain thoughts of other gods besides Him,Shemos 20:3
2025-11-02,3,To know that He is one,Devarim 6:4
2025-11-03,4,To love Him,Devarim 6:5
2025-11-04,5,To fear Him,Devarim 10:20
2025-11-05,6,To sanctify His Name,Vayikra 22:32
2025-11-06,7,Not to profane His Name,Vayikra 22:32
2025-11-07,8,Not to destroy objects associated with His Name,Devarim 12:4
2025-11-08,9,To listen to the prophet speaking in His Name,Devarim 18:15
2025-11-09,10,Not to test the prophet unduly,Devarim 6:16
2025-11-10,11,To emulate His ways,Devarim 28:9
2025-11-11,12,To cleave to those who know Him,Devarim 10:20
2025-11-12,13,To love other Jews,Vayikra 19:18
2025-11-13,14,To love converts,Devarim 10:19
2025-11-14,15,Not to hate fellow Jews,Vayikra 19:17
2025-11-15,16,To reprove wrongdoers,Vayikra 19:17
2025-11-16,17,Not to embarrass others,Vayikra 19:17
2025-11-17,18,Not to oppress the weak,Shemos 22:21
2025-11-18,19,Not to gossip about others,Vayikra 19:16
2025-11-19,20,Not to take revenge,Vayikra 19:18
2025-11-20,21,Not to bear a grudge,Vayikra 19:18
2025-11-21,22,To learn Torah and teach it,Devarim 6:7
2025-11-22,23,To honor those who teach and know Torah,Vayikra 19:32
2025-11-23,24,Not to inquire into idolatry,Vayikra 19:4
2025-11-24,25,Not to follow the whims of your heart or what your eyes see,Bamidbar 15:39
2025-11-25,26,Not to blaspheme,Shemos 22:27
2025-11-26,27,Not to worship idols in the manner they are worshiped,Shemos 20:5
2025-11-27,28,Not to bow down to idols,Shemos 20:5
2025-11-28,29,Not to make an idol for yourself,Shemos 20:4
2025-11-29,30,Not to make an idol for others,Vayikra 19:4
2025-11-30,31,Not to make human forms even for decorative purposes,Shemos 20:20
2025-12-01,32,Not to turn a city to idolatry,Shemos 23:13
2025-12-02,33,To burn a city that has turned to idol worship,Devarim 13:17
2025-12-03,34,Not to rebuild it as a city,Devarim 13:17
2025-12-04,35,Not to derive benefit from it,Devarim 13:18
2025-12-05,36,Not to missionize an individual to idol worship,Devarim 13:12
2025-12-06,37,Not to love the missionary,Devarim 13:9
2025-12-07,38,Not to cease hating the missionary,Devarim 13:9
2025-12-08,39,Not to save the missionary,Devarim 13:9
2025-12-09,40,Not to say anything in his defense,Devarim 13:9
2025-12-10,41,Not to refrain from incriminating him,Devarim 13:9
2025-12-11,42,Not to prophesize in the name of idolatry,Devarim 18:20
2025-12-12,43,Not to listen to a false prophet,Devarim 13:4
2025-12-13,44,Not to prophesize falsely in the name of G‑d,Devarim 18:20
2025-12-14,45,Not to be afraid of killing the false prophet,Devarim 18:22
2025-12-15,46,Not to swear in the name of an idol,Shemos 23:13
2025-12-16,47,Not to perform Ov (medium),Vayikra 19:31
2025-12-17,48,Not to perform Yidoni (magical seer),Vayikra 19:31
2025-12-18,49,Not to pass your children through the fire to Molech,Vayikra 18:21
2025-12-19,50,Not to erect a column in a public place of worship,Devarim 16:22
2025-12-20,51,Not to bow down on smooth stone,Vayikra 26:1
2025-12-21,52,Not to plant a tree in the Temple courtyard,Devarim 16:21
2025-12-22,53,To destroy idols and their accessories,Devarim 12:2
2025-12-23,54,Not to derive benefit from idols and their accessories,Devarim 7:26
2025-12-24,55,Not to derive benefit from ornaments of idols,Devarim 7:25
2025-12-25,56,Not to make a covenant with idolaters,Devarim 7:2
2025-12-26,57,Not to show favor to them,Devarim 7:2
2025-12-27,58,Not to let them dwell in our land,Shemos 23:33
2025-12-28,59,Not to imitate them in customs and clothing,Vayikra 20:23
2025-12-29,60,Not to be superstitious,Vayikra 19:26
2025-12-30,61,"Not to go into a trance to foresee events, etc.",Devarim 18:10
2025-12-31,62,Not to engage in astrology,Vayikra 19:26
2026-01-01,63,Not to mutter incantations,Devarim 18:11
2026-01-02,64,Not to attempt to engage the dead in conversation,Devarim 18:11
2026-01-03,65,Not to consult the Ov,Devarim 18:11
2026-01-04,"66, 67",Not to consult the Yidoni & Not to perform acts of magic,Devarim 18:11 & Devarim 18:10
2026-01-05,"68, 69",Men must not shave the hair off the sides of their head & Men must not shave their beards with a razor,Vayikra 19:27 & Vayikra 19:27
2026-01-06,"70, 71",Men must not wear women's clothing & Women must not wear men's clothing,Devarim 22:5 & Devarim 22:5
2026-01-07,"72, 73",Not to tattoo the skin & Not to tear the skin in mourning,Vayikra 19:28 & Devarim 14:1
2026-01-08,"74, 75",Not to make a bald spot in mourning & To repent and confess wrongdoings,Devarim 14:1 & Bamidbar 5:7
2026-01-09,"76, 77",To say the Shema twice daily & To serve the Almighty with prayer daily,Devarim 6:7 & Shemos 23:25
2026-01-10,"78, 79",The Kohanim must bless the Jewish nation daily & To wear Tefillin on the head,Bamidbar 6:23 & Devarim 6:8
2026-01-11,"80, 81",To bind tefillin on the arm & To put a Mezuzah on each door post,Devarim 6:8 & Devarim 6:9
2026-01-12,"82, 83",To write a Sefer Torah & The king must have a separate Sefer Torah for himself,Devarim 31:19 & Devarim 17:18
2026-01-13,"84, 85",To have Tzitzit on four-cornered garments & To bless the Almighty after eating,Bamidbar 15:38 & Devarim 8:10
2026-01-14,"86, 87",To circumcise all males on the eighth day after their birth & To rest on the seventh day,Vayikra 12:3 & Shemos 23:12
2026-01-15,"88, 89",Not to do prohibited labor on the seventh day & The court must not inflict punishment on Shabbat,Shemos 20:10 & Shemos 35:3
2026-01-16,"90, 91",Not to walk more than 2000 cubits outside the city boundary on Shabbat & To sanctify the day with Kiddush and Havdalah,Shemos 16:29 & Shemos 20:8
2026-01-17,"92, 93",To rest from prohibited labor on Yom Kippur & Not to do prohibited labor on Yom Kippur,Vayikra 23:32 & Vayikra 23:31
2026-01-18,"94, 95",To afflict yourself on Yom Kippur & Not to eat or drink on Yom Kippur,Vayikra 16:29 & Vayikra 23:29
2026-01-19,"96, 97",To rest on the first day of Passover & Not to do prohibited labor on the first day of Passover,Vayikra 23:8 & Vayikra 23:8
2026-01-20,"98, 99",To rest on the seventh day of Passover & Not to do prohibited labor on the seventh day of Passover,Vayikra 23:8 & Vayikra 23:8
2026-01-21,"100, 101",To rest on Shavuot & Not to do prohibited labor on Shavuot,Vayikra 23:21 & Vayikra 23:21
2026-01-22,"102, 103",To rest on Rosh Hashanah & Not to do prohibited labor on Rosh Hashanah,Vayikra 23:24 & Vayikra 23:25
2026-01-23,"104, 105",To rest on Sukkot & Not to do prohibited labor on Sukkot,Vayikra 23:35 & Vayikra 23:35
2026-01-24,"106, 107",To rest on Shemini Atzeret & Not to do prohibited labor on Shemini Atzeret,Vayikra 23:36 & Vayikra 23:36
2026-01-25,"108, 109",Not to eat Chametz on the afternoon of the 14th day of Nissan & To destroy all Chametz on 14th day of Nissan,Devarim 16:3 & Shemos 12:15
2026-01-26,"110, 111",Not to eat Chametz all seven days of Passover & Not to eat mixtures containing Chametz all seven days of Passover,Shemos 13:3 & Shemos 12:20
2026-01-27,"112, 113",Chametz should not be seen in your domain seven days & Chametz should not be found in your domain seven days,Shemos 13:7 & Shemos 12:19
2026-01-28,"114, 115",To eat Matzah on the first night of Passover & To relate the Exodus from Egypt on that night,Shemos 12:18 & Shemos 13:8
2026-01-29,"116, 117",To hear the Shofar on the first day of Tishrei (Rosh Hashanah) & To dwell in a Sukkah for the seven days of Sukkot,Bamidbar 29:1 & Vayikra 23:42
2026-01-30,"118, 119",To take up a Lulav and Etrog all seven days of Sukkot & Each man must give a half shekel annually,Vayikra 23:40 & Shemos 30:13
2026-01-31,"120, 121",Courts must calculate to determine when a new month begins & To afflict and cry out before G‑d in times of catastrophe,Shemos 12:2 & Bamidbar 10:9
2026-02-01,"122, 123",To marry a wife by the means prescribed in the Torah (kiddushin) & Not to have relations with women not thus married,Devarim 24:1 & Devarim 23:18
2026-02-02,"124, 125","Not to withhold food, clothing, and sexual relations from your wife & To have children with one's wife",Shemos 21:10 & Bereishis 1:28
2026-02-03,"126, 127",To issue a divorce by means of a Get document & A man must not remarry his wife after she has married someone else,Devarim 24:1 & Devarim 24:4
2026-02-04,"128, 129",To do Yibum (marry childless brother's widow) & To do Chalitzah (freeing a widow from yibum),Devarim 25:5 & Devarim 25:9
2026-02-05,"130, 131",The widow must not remarry until the ties with her brother-in-law are removed & The court must fine one who seduces a maiden,Devarim 25:5 & Shemos 22:15-16
2026-02-06,"132, 133",The rapist must marry the maiden (if she chooses) & He is not allowed to divorce her,Devarim 22:29 & Devarim 22:29
2026-02-07,"134, 135",The slanderer must remain married to the wife he slandered & He must not divorce her,Devarim 22:19 & Devarim 22:19
2026-02-08,"136, 137",To fulfill the laws of the woman suspected of adultery (Sotah) & Not to put oil on her meal offering,Bamidbar 5:30 & Bamidbar 5:15
2026-02-09,"138, 139",Not to put frankincense on her Meal Offering & Not to have sexual relations with your mother,Bamidbar 5:15 & Vayikra 18:7
2026-02-10,"140, 141",Not to have sexual relations with your father's wife & Not to have sexual relations with your sister,Vayikra 18:8 & Vayikra 18:9
2026-02-11,"142, 143",Not to have sexual relations with your father's wife's daughter (from your father) & Not to have sexual relations with your son's daughter,Vayikra 18:11 & Vayikra 18:10
2026-02-12,"144, 145",Not to have sexual relations with your daughter & Not to have sexual relations with your daughter's daughter,Vayikra 18:10 & Vayikra 18:10
2026-02-13,"146, 147",Not to marry a woman and her daughter & Not to marry a woman and her son's daughter,Vayikra 18:17 & Vayikra 18:17
2026-02-14,"148, 149",Not to marry a woman and her daughter's daughter & Not to have sexual relations with your father's sister,Vayikra 18:17 & Vayikra 18:12
2026-02-15,"150, 151",Not to have sexual relations with your mother's sister & Not to have sexual relations with your father's brother's wife,Vayikra 18:13 & Vayikra 18:14
2026-02-16,"152, 153",Not to have sexual relations with your son's wife & Not to have sexual relations with your brother's wife,Vayikra 18:15 & Vayikra 18:16
2026-02-17,"154, 155",Not to have sexual relations with your wife's sister & A man must not have sexual relations with a beast,Vayikra 18:18 & Vayikra 18:23
2026-02-18,"156, 157",A woman must not have sexual relations with a beast & Not to have homosexual sexual relations,Vayikra 18:23 & Vayikra 18:22
2026-02-19,"158, 159",Not to have homosexual sexual relations with your father & Not to have homosexual sexual relations with your father's brother,Vayikra 18:7 & Vayikra 18:14
2026-02-20,"160, 161",Not to have sexual relations with a married woman & Not to have sexual relations with a menstrually impure woman,Vayikra 18:20 & Vayikra 18:19
2026-02-21,"162, 163",Not to marry non-Jews & Not to let Moabite and Ammonite males marry into the Jewish people,Devarim 7:3 & Devarim 23:4
2026-02-22,"164, 165",Don't keep a third generation Egyptian convert from marrying into the Jewish people & Not to refrain from marrying a third generation Edomite convert,Devarim 23:8-9 & Devarim 23:8-9
2026-02-23,"166, 167","Not to let a Mamzer (""bastard"") marry into the Jewish people & Not to let a eunuch marry into the Jewish people",Devarim 23:3 & Devarim 23:2
2026-02-24,"168, 169",Not to castrate any male (including animals) & The High Priest must not marry a widow,Vayikra 22:24 & Vayikra 21:14
2026-02-25,"170, 171",The High Priest must not have sexual relations with a widow even outside of marriage & The High Priest must marry a virgin maiden,Vayikra 21:14 & Vayikra 21:13
2026-02-26,"172, 173",A Kohen must not marry a divorcee & A Kohen must not marry a zonah (a woman who had forbidden relations),Vayikra 21:7 & Vayikra 21:7
2026-02-27,"174, 175",A Kohen must not marry a chalalah (party to or product of 169-172) & Not to make pleasurable (sexual) contact with any forbidden woman,Vayikra 21:7 & Vayikra 18:6
2026-02-28,"176, 177",To examine the signs of animals to distinguish between Kosher and non-kosher & To examine the signs of fowl to distinguish between kosher and non-kosher,Vayikra 11:2 & Devarim 14:11
2026-03-01,"178, 179",To examine the signs of fish to distinguish between kosher and non-kosher & To examine the signs of locusts to distinguish between kosher and non-kosher,Vayikra 11:9 & Vayikra 11:21
2026-03-02,"180, 181",Not to eat non-kosher animals & Not to eat non-kosher fowl,Vayikra 11:4 & Vayikra 11:13
2026-03-03,"182, 183",Not to eat non-kosher fish & Not to eat non-kosher flying insects,Vayikra 11:11 & Devarim 14:19
2026-03-04,"184, 185",Not to eat non-kosher creatures that crawl on land & Not to eat non-kosher maggots,Vayikra 11:41 & Vayikra 11:44
2026-03-05,"186, 187",Not to eat worms found in fruit once they have left the fruit & Not to eat creatures that live in water other than fish,Vayikra 11:42 & Vayikra 11:43
2026-03-06,"188, 189",Not to eat the meat of an animal that died without ritual slaughter & Not to benefit from a beast condemned to be stoned,Devarim 14:21 & Shemos 21:28
2026-03-07,"190, 191",Not to eat meat of an animal that was mortally wounded & Not to eat a limb torn off a living creature,Shemos 22:30 & Devarim 12:23
2026-03-08,"192, 193",Not to eat blood & Not to eat certain fats of kosher animals,Vayikra 3:17 & Vayikra 3:17
2026-03-09,"194, 195",Not to eat the sinew of the thigh & Not to eat meat and milk cooked together,Bereishis. 32:33 & Shemos 23:19
2026-03-10,"196, 197",Not to cook meat and milk together & Not to eat bread from new grain before the Omer,Shemos 34:26 & Vayikra 23:14
2026-03-11,"198, 199",Not to eat parched grains from new grain before the Omer & Not to eat ripened grains from new grain before the Omer,Vayikra 23:14 & Vayikra 23:14
2026-03-12,"200, 201",Not to eat fruit of a tree during its first three years & Not to eat diverse seeds planted in a vineyard,Vayikra 19:23 & Devarim 22:9
2026-03-13,"202, 203",Not to eat untithed fruits & Not to drink wine poured in service to idols,Vayikra 22:15 & Devarim 32:38
2026-03-14,"204, 205",To ritually slaughter an animal before eating it & Not to slaughter an animal and its offspring on the same day,Devarim 12:21 & Vayikra 22:28
2026-03-15,"206, 207",To cover the blood (of a slaughtered beast or fowl) with earth & Not to take the mother bird from her children,Vayikra 17:13 & Devarim 22:6
2026-03-16,"208, 209",To release the mother bird before taking the children & Not to swear falsely in G‑d's Name,Devarim 22:7 & Vayikra 19:12
2026-03-17,"210, 211",Not to take G‑d's Name in vain & Not to deny possession of something entrusted to you,Shemos 20:7 & Vayikra 19:11
2026-03-18,"212, 213",Not to swear falsely in denial of a monetary claim & To swear in G‑d's Name to confirm the truth when deemed necessary by court,Vayikra 19:11 & Devarim 10:20
2026-03-19,"214, 215",To fulfill what was uttered and to do what was avowed & Not to break oaths or vows,Devarim 23:24 & Bamidbar 30:3
2026-03-20,"216, 217","For oaths and vows annulled, there are the laws of annulling vows explicit in the Torah & The Nazir must let his hair grow",Bamidbar 30:3 & Bamidbar 6:5
2026-03-21,"218, 219","He must not cut his hair & He must not drink wine, wine mixtures, or wine vinegar",Bamidbar 6:5 & Bamidbar 6:3
2026-03-22,"220, 221",He must not eat fresh grapes & He must not eat raisins,Bamidbar 6:3 & Bamidbar 6:3
2026-03-23,"222, 223",He must not eat grape seeds & He must not eat grape skins,Bamidbar 6:4 & Bamidbar 6:4
2026-03-24,"224, 225",He must not be under the same roof as a corpse & He must not come into contact with the dead,Bamidbar 6:6 & Bamidbar 6:7
2026-03-25,"226, 227",He must shave after bringing sacrifices upon completion of his Nazirite period & To estimate the value of people (when someone pledges a person's worth) as determined by the Torah,Bamidbar 6:18 & Vayikra 27:2
2026-03-26,"228, 229",To estimate the value of consecrated animals & To estimate the value of consecrated houses,Vayikra 27:12-13 & Vayikra 27:14
2026-03-27,"230, 231",To estimate the value of consecrated fields & Carry out the laws of interdicting possessions (cherem),Vayikra 27:16 & Vayikra 27:28
2026-03-28,"232, 233",Not to sell the cherem & Not to redeem the cherem,Vayikra 27:28 & Vayikra 27:28
2026-03-29,"234, 235",Not to plant diverse seeds together & Not to plant grains or greens in a vineyard,Vayikra 19:19 & Devarim 22:9
2026-03-30,"236, 237",Not to crossbreed animals & Not to work different animals together,Vayikra 19:19 & Devarim 22:10
2026-03-31,"238, 239","Not to wear Shatnez, a cloth woven of wool and linen & To leave a corner of the field uncut for the poor",Devarim 22:11 & Vayikra 19:10
2026-04-01,"240, 241",Not to reap that corner & To leave gleanings for The poor,Vayikra 19:9 & Vayikra 19:9
2026-04-02,"242, 243",Not to gather the gleanings & To leave the gleanings of a vineyard,Vayikra 19:9 & Vayikra 19:10
2026-04-03,"244, 245",Not to gather the gleanings of a vineyard & To leave the unformed clusters of grapes for the poor,Vayikra 19:10 & Vayikra 19:10
2026-04-04,"246, 247",Not to pick the unformed clusters of grapes & To leave the forgotten sheaves in the field for the poor,Vayikra 19:10 & Devarim 24:19
2026-04-05,"248, 249",Not to retrieve them & To separate the tithe for the poor,Devarim 24:19 & Devarim 14:28
2026-04-06,"250, 251",To give charity & Not to withhold charity from the poor,Devarim 15:11 & Devarim 15:7
2026-04-07,"252, 253",To set aside Terumah Gedolah (tithe for the Kohen) & The Levite must set aside a tenth of his tithe for the Kohen,Devarim 18:4 & Bamidbar 18:26
2026-04-08,"254, 255","Not to improperly preface one tithe to the next, but separate them in their proper order & A non-Kohen must not eat Terumah",Shemos 22:28 & Vayikra 22:10
2026-04-09,"256, 257",A hired worker or a Jewish bondsman of a Kohen must not eat Terumah & An uncircumcised Kohen must not eat Terumah,Vayikra 22:10 & Shemos 12:48
2026-04-10,"258, 259",An impure Kohen must not eat Terumah & A chalalah [see Mitzvah 174] must not eat Terumah,Vayikra 22:4 & Vayikra 22:12
2026-04-11,"260, 261",To set aside Ma'aser (tithe) each planting year and give it to a Levite & To set aside the Second Tithe (which is to be eaten in Jerusalem),Bamidbar 18:24 & Devarim 14:22
2026-04-12,"262, 263","Not to spend its redemption money on anything but food, drink, or ointment & Not to eat the Second Tithe while impure",Devarim 26:14 & Devarim 26:14
2026-04-13,"264, 265",A mourner on the first day after death must not eat the Second Tithe & Not to eat Second Tithe grains outside Jerusalem,Devarim 26:14 & Devarim 12:17
2026-04-14,"266, 267",Not to eat Second Tithe wine products outside Jerusalem & Not to eat Second Tithe oil outside Jerusalem,Devarim 12:17 & Devarim 12:17
2026-04-15,"268, 269",The fourth year crops must be totally for holy purposes like the Second Tithe & To read the confession of tithes every fourth and seventh year,Vayikra 19:24 & Devarim 26:13
2026-04-16,"270, 271",To set aside the first fruits and bring them to the Temple & The Kohanim must not eat the first fruits outside Jerusalem,Shemos 23:19 & Devarim 12:17
2026-04-17,"272, 273",To read the Torah Portion pertaining to their presentation & To set aside a portion of dough for a Kohen,Devarim 26:5 & Bamidbar 15:20
2026-04-18,"274, 275","To give the shoulder, two cheeks, and stomach of slaughtered animals to a Kohen & To give the first shearing of sheep to a Kohen",Devarim 18:3 & Devarim 18:4
2026-04-19,"276, 277",To redeem the firstborn sons and give the money to a Kohen & To redeem the firstborn donkey by giving a lamb to a Kohen,Bamidbar 18:15 & Shemos 13:13
