Date,Sequential_Number,Mitzvah_Type_Number,Summary,Sefaria_Link
2025-10-20,1,Intro 1,Introduction to Counting the Mitzvot,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-21,2,Intro 2,Principle 1: Not to count rabbinic commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-22,3,Intro 3,Principle 2: Not to count derived laws,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-23,4,Intro 4,Principle 3: Not to count temporary commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-24,5,Intro 5,Principle 4: Not to count general Torah commands,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-25,6,Intro 6,Principle 5: Not to count reasons as separate mitzvot,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-26,7,Intro 7,Principle 6: Count positive and negative parts separately,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-27,8,Intro 8,Principle 7: Not to count details of commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-28,9,Intro 9,Principle 8: Not to count negation of positive commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-29,10,Intro 10,"Principle 9: Count the substance, not the statements",https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-30,11,Intro 11,Principle 10: Not to count preliminaries,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-10-31,12,Intro 12,Principle 11: Not to count parts of unified commandments,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-11-01,13,Intro 13,Principle 12: Not to count parts of work processes,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-11-02,14,Intro 14,"Principle 13: Count by substance, not by repetition",https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-11-03,15,Positive 1,That is the command that He commanded us to believe in God,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-11-03,16,Positive 2,This is the command that he commanded us about belief in [God's] unity,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.2?lang=bi
2025-11-04,17,Positive 3,This is the command that he commanded us about belief in [God's] unity,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-11-04,18,Positive 4,"To to believe in His awe, may He be exalted, and to be afraid of Him",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-11-05,19,Positive 5,"To about loving Him, may He be exalted",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-11-05,20,Positive 6,"To to associate with the sages, to gather with them and to constantly be invo...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-11-06,21,Positive 7,"To to believe in His awe, may He be exalted, and to be afraid of Him",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.7?lang=bi
2025-11-06,22,Positive 8,"To to imitate Him, may He be exalted, according to our ability",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.8?lang=bi
2025-11-07,23,Positive 9,That is that we are commanded to serve Him,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-11-07,24,Positive 10,To to read the recitation of Shema in the evening and the morning,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.10?lang=bi
2025-11-08,25,Positive 11,"To to associate with the sages, to gather with them and to constantly be invo...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-08,26,Positive 12,To to put on the head tefillin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-09,27,Positive 13,To to swear by His name when it is necessary to ratify something or to deny it,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
2025-11-09,28,Positive 14,To to make tzitzit (fringes),https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.14?lang=bi
2025-11-10,29,Positive 15,"To to imitate Him, may He be exalted, according to our ability",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.15?lang=bi
2025-11-10,30,Positive 16,To to assemble the people on the second day of Sukkot at the end of the sabba...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.16?lang=bi
2025-11-11,31,Positive 17,To to sanctify His name,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.17?lang=bi
2025-11-11,32,Positive 18,To that every man among us should write a Torah scroll for himself,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.18?lang=bi
2025-11-12,33,Positive 19,To to read the recitation of Shema in the evening and the morning,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.19?lang=bi
2025-11-12,34,Positive 20,"That is that we were commanded to build a choice house for Divine service, in...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.20?lang=bi
2025-11-13,35,Positive 21,To to study Torah and to teach it,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.21?lang=bi
2025-11-13,36,Positive 22,"To to guard the Temple and to constantly walk around it, to honor it, to exal...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.22?lang=bi
2025-11-14,37,Positive 23,To to put on the head tefillin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.23?lang=bi
2025-11-14,38,Positive 24,That is that He commanded the priests to wash their hands and their feet any ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.24?lang=bi
2025-11-15,39,Positive 25,To to put on the hand tefillin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.25?lang=bi
2025-11-15,40,Positive 26,That is that He commanded the priests to bless Israel,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.26?lang=bi
2025-11-16,41,Positive 27,To to make tzitzit (fringes),https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.27?lang=bi
2025-11-16,42,Positive 28,That is that He commanded the priests to burn incense every day twice on the ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.28?lang=bi
2025-11-17,43,Positive 29,To to make a mezuzah,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.29?lang=bi
2025-11-17,44,Positive 30,That is that He commanded the priests to remove the ashes from off the altar ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.30?lang=bi
2025-11-18,45,Positive 31,To to assemble the people on the second day of Sukkot at the end of the sabba...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.31?lang=bi
2025-11-18,46,Positive 32,"To to honor the seed of Aharon, to adorn and glorify them, and that we should...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.32?lang=bi
2025-11-19,47,Positive 33,And that is that He commanded us that any king from our nation that sits on t...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.33?lang=bi
2025-11-19,48,Positive 34,"That is that He commanded the priests to carry the ark on their shoulders, wh...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.34?lang=bi
2025-11-20,49,Positive 35,To that every man among us should write a Torah scroll for himself,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.35?lang=bi
2025-11-20,50,Positive 36,"And that is that He commanded us that the priests serve in watches, each watc...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.36?lang=bi
2025-11-21,51,Positive 37,To to bless Him after eating,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.37?lang=bi
2025-11-21,52,Positive 38,That is that He commanded a high priest to marry a virgin,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.38?lang=bi
2025-11-22,53,Positive 39,"That is that we were commanded to build a choice house for Divine service, in...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.39?lang=bi
2025-11-22,54,Positive 40,To that the high priest offer a regular grain offering every day in the morni...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.40?lang=bi
2025-11-23,55,Positive 41,"To to fear this Temple very much, to the extent that we place a burden of fea...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.41?lang=bi
2025-11-23,56,Positive 42,That is that He commanded to offer a sacrifice on every Rosh Chodesh (first d...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.42?lang=bi
2025-11-24,57,Positive 43,"To to guard the Temple and to constantly walk around it, to honor it, to exal...",https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.43?lang=bi
2025-11-24,58,Positive 44,That is that He commanded to offer the grain offering of the omer,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.44?lang=bi
2025-11-25,59,Positive 45,And that is that only the Levites were commanded to serve in the Temple in sp...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.45?lang=bi
2025-11-25,60,Positive 46,To to bring two breads of chametz to the Temple with the sacrifices that come...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.46?lang=bi
2025-11-26,61,Positive 47,That is that He commanded the priests to wash their hands and their feet any ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.47?lang=bi
2025-11-26,62,Positive 48,That is that He commanded to offer an additional sacrifice on the tenth day o...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.48?lang=bi
2025-11-27,63,Positive 49,That is that He commanded the priests to kindle the lamps regularly in front ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.49?lang=bi
2025-11-27,64,Positive 50,That is that He commanded to offer an additional sacrifice on the holiday of ...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.50?lang=bi
2025-11-28,65,Positive 51,That is that He commanded the priests to bless Israel,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.51?lang=bi
2025-11-28,66,Positive 52,To to ascend to the Temple three times a year,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.52?lang=bi
2025-11-29,67,Positive 53,That is that he commanded us to place the bread of display always in front of...,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.53?lang=bi
2025-11-29,68,Positive 54,To to rejoice in the the festivals,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.54?lang=bi
