Date,Mitzvos,English Title(s),Source,Sefaria_Link,Sefaria_Link
2025-10-16,Intro 1,Introduction: Purpose of Learning Mitzvos,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-17,Intro 2,Shorash 1: Belief in G-d,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-18,Intro 3,Shorash 2: Love of G-d,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-19,Intro 4,Shorash 3: Fear of G-d,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-20,Intro 5,Shorash 4: Sanctification of G-d's Name,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-21,Intro 6,Shorash 5: Cleaving to Torah Scholars,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-22,Intro 7,Shorash 6: Emulation of G-d,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-23,Intro 8,Shorash 7: Loving Fellow Jews,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-24,Intro 9,Shorash 8: Loving Converts,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-25,Intro 10,Shorash 9: Avoiding Hatred,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-26,Intro 11,Shorash 10: Not Embarrassing Others,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-10-27,Intro 12,Shorash 11: Not Oppressing the Weak,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-10-28,Intro 13,Shorash 12: Not Gossiping,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-10-29,Intro 14,Shorash 13: Rebuke Sinners,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-10-30,Intro 15,Shorash 14: Giving Charity,Sefer HaMitzvos,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.15?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.15?lang=bi
2025-10-31,1,To know there is a G‑d,Shemos 20:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-11-01,2,Not to entertain thoughts of other gods besides Him,Shemos 20:3,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.2?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.2?lang=bi
2025-11-02,3,To know that He is one,Devarim 6:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-11-03,4,To love Him,Devarim 6:5,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-11-04,5,To fear Him,Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-11-05,6,To sanctify His Name,Vayikra 22:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-11-06,7,Not to profane His Name,Vayikra 22:32,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.7?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.7?lang=bi
2025-11-07,8,Not to destroy objects associated with His Name,Devarim 12:4,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.8?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.8?lang=bi
2025-11-08,9,To listen to the prophet speaking in His Name,Devarim 18:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.9?lang=bi
2025-11-09,10,Not to test the prophet unduly,Devarim 6:16,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.10?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Negative_Commandments.10?lang=bi
2025-11-10,11,To emulate His ways,Devarim 28:9,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.11?lang=bi
2025-11-11,12,To cleave to those who know Him,Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.12?lang=bi
2025-11-12,13,To love other Jews,Vayikra 19:18,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.13?lang=bi
