Date,Sequential_Number,Mitzvah_Type_Number,Summary,Biblical_Source,Sefaria_Link
2025-10-20,1,Intro 1,Introduction to Counting the Mitzvos.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.1?lang=bi
2025-10-20,2,Intro 2,Principle 1: Not rabbinic commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.2?lang=bi
2025-10-21,3,Intro 3,Principle 2: Not derived through hermeneutics.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.3?lang=bi
2025-10-21,4,Intro 4,Principle 3: Only perpetual commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.4?lang=bi
2025-10-22,5,Intro 5,Principle 4: Not general Torah commands.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.5?lang=bi
2025-10-22,6,Intro 6,Principle 5: Not reasons as separate mitzvos.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.6?lang=bi
2025-10-23,7,Intro 7,Principle 6: Separate positive and negative.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.7?lang=bi
2025-10-23,8,Intro 8,Principle 7: Not details of commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.8?lang=bi
2025-10-24,9,Intro 9,Principle 8: Not negation of positive commands.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.9?lang=bi
2025-10-24,10,Intro 10,"Principle 9: Count substance, not statements.",,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.10?lang=bi
2025-10-25,11,Intro 11,Principle 10: Not preliminaries to commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.11?lang=bi
2025-10-25,12,Intro 12,Principle 11: Not parts of unified commandments.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.12?lang=bi
2025-10-26,13,Intro 13,Principle 12: Not work process components.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.13?lang=bi
2025-10-26,14,Intro 14,Principle 13: Not repetition-based counting.,,https://www.sefaria.org/Sefer_HaMitzvot%2C_Shorashim.14?lang=bi
2025-10-27,15,Positive 1,We are commanded to believe in G-d.,Shemos 20:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.1?lang=bi
2025-10-27,16,Positive 2,We are commanded to believe in G-d's unity.,Shemos 20:2,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.2?lang=bi
2025-10-28,17,Positive 3,"We are commanded about loving Him, may He be exalted.",Devarim 12:15,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.3?lang=bi
2025-10-28,18,Positive 4,"We are commanded to believe in His awe, may He be exalted, and to be afraid of Him.",Devarim 6:13,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.4?lang=bi
2025-10-29,19,Positive 5,We are commanded to fear G-d.,Devarim 10:20,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.5?lang=bi
2025-10-29,20,Positive 6,"We are commanded to associate with the sages, to gather with them and to constantly be involved with them in all manner of work and interaction in eating and drinking and business, so that it comes to us to imitate their actions and believe the truth of their words.",Devarim 6:7,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.6?lang=bi
2025-10-30,21,Positive 7,We are commanded to swear by His name when it is necessary to ratify something or to deny it.,Vayikra 19:11,https://www.sefaria.org/Sefer_HaMitzvot%2C_Positive_Commandments.7?lang=bi
