Analysis_Type,Schedule_Num,Schedule_Type,Schedule_Summary,Schedule_Source,Master_Num,Master_Mitzvah,Master_Source,Shared_Concepts,Text_Similarity,Source_Match,Notes
=== WEB SEARCH FINDINGS ===
Web_Search,,,Rambam Sefer HaMitzvot 613 mitzvot order comparison,,,,,,,,https://duckduckgo.com/?q=Rambam+Sefer+HaMitzvot+613+mitzvot+order+comparison&t=h_&ia=web
Web_Search,,,Maimonides mitzvot enumeration differences scholarly analysis,,,,,,,,https://duckduckgo.com/?q=Maimonides+mitzvot+enumeration+differences+scholarly+analysis&t=h_&ia=web
Web_Search,,,Sefer HaMitzvot vs traditional 613 list academic study,,,,,,,,https://duckduckgo.com/?q=Sefer+HaMitzvot+vs+traditional+613+list+academic+study&t=h_&ia=web
Web_Search,,,Rambam mitzvot numbering system comparison research,,,,,,,,https://duckduckgo.com/?q=Rambam+mitzvot+numbering+system+comparison+research&t=h_&ia=web
""
"=== SOURCE MISMATCHES (Same Mitzvah, Different Source) ==="
Source_Mismatch,19,Positive 5,We are commanded to serve G-d through prayer.,Devarim 10:20,77,To serve the Almighty with prayer daily,Shemos 23:25,deity; worship,0.476,False,NEEDS VERIFICATION
Source_Mismatch,33,Positive 19,We are commanded to bless Him after eating.,Vayikra 19:16,85,To bless the Almighty after eating,Devarim 8:10,priestly; dietary,0.623,False,NEEDS VERIFICATION
Source_Mismatch,49,Positive 35,"We are commanded that we have oil made according to the special recipe, ready to anoint the high priest when he is appointed as He said, ""The priest who is exalted above his fellows, on whose head the anointing oil has been poured"" (Vayikra 21:10).",Devarim 13:18,318,The Kohanim must wear their priestly garments during service,Shemos 28:2,priestly; tefillin,0.247,False,NEEDS VERIFICATION
Source_Mismatch,67,Positive 53,We are commanded to appear [at the Temple] on festivals.,Devarim 12:2,423,Not to appear at the Temple without offerings,Devarim 16:16,temple,0.594,False,NEEDS VERIFICATION
Source_Mismatch,72,Positive 58,We are commanded to eat from the meat of the second-Pesach offering on the night of the fifteenth of Iyar over matzah and bitter herbs.,Shemos 23:33,409,To eat the second Paschal Lamb on the night of the 15th of Iyar,Bamidbar 9:11,dietary,0.535,False,NEEDS VERIFICATION
Source_Mismatch,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,305,To guard the Temple area,Bamidbar 18:3,temple,0.516,False,NEEDS VERIFICATION
Source_Mismatch,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,329,Impure Kohanim must not do service in the temple,Vayikra 22:2,temple,0.512,False,NEEDS VERIFICATION
Source_Mismatch,86,Positive 72,We are commanded regarding the Temple.,Vayikra 19:28,369,To offer all sacrifices in the Temple,Devarim 12:11,temple,0.507,False,NEEDS VERIFICATION
Source_Mismatch,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",Devarim 6:8,276,To redeem the firstborn sons and give the money to a Kohen,Bamidbar 18:15,priestly,0.649,False,NEEDS VERIFICATION
Source_Mismatch,94,Positive 80,"We are commanded to redeem the firstborn man, that we should give the money to the priest.",Devarim 6:8,277,To redeem the firstborn donkey by giving a lamb to a Kohen,Shemos 13:13,priestly,0.527,False,NEEDS VERIFICATION
Source_Mismatch,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,369,To offer all sacrifices in the Temple,Devarim 12:11,temple,0.733,False,NEEDS VERIFICATION
Source_Mismatch,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.588,False,NEEDS VERIFICATION
Source_Mismatch,98,Positive 84,We are commanded to offer all of the sacrifices in the [Temple].,Bamidbar 15:38,370,To bring all sacrifices from outside Israel to the Temple,Devarim 12:26,temple,0.529,False,NEEDS VERIFICATION
Source_Mismatch,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.538,False,NEEDS VERIFICATION
Source_Mismatch,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,329,Impure Kohanim must not do service in the temple,Vayikra 22:2,temple,0.518,False,NEEDS VERIFICATION
Source_Mismatch,102,Positive 88,We are commanded regarding the service of Levites in the Temple.,Shemos 20:10,314,The Levites must work in the Temple,Bamidbar 18:23,temple,0.505,False,NEEDS VERIFICATION
Source_Mismatch,103,Positive 89,We are commanded regarding the Temple.,Shemos 35:3,305,To guard the Temple area,Bamidbar 18:3,temple,0.516,False,NEEDS VERIFICATION
Source_Mismatch,103,Positive 89,We are commanded regarding the Temple.,Shemos 35:3,329,Impure Kohanim must not do service in the temple,Vayikra 22:2,temple,0.512,False,NEEDS VERIFICATION
Source_Mismatch,103,Positive 89,We are commanded regarding the Temple.,Shemos 35:3,369,To offer all sacrifices in the Temple,Devarim 12:11,temple,0.507,False,NEEDS VERIFICATION
Source_Mismatch,104,Positive 90,We are commanded that priests wash their hands and feet before Temple service.,Shemos 16:29,331,A Kohen must wash his hands and feet before service,Shemos 30:19,priestly; tefillin,0.667,False,NEEDS VERIFICATION
Source_Mismatch,105,Positive 91,We are commanded to light the menorah daily in the Temple.,Shemos 20:8,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.513,False,NEEDS VERIFICATION
Source_Mismatch,116,Positive 102,"We are commanded to administer the laws of the impurity of a garment that has <i>tzaraas</i>, such that it be impure.",Vayikra 23:24,319,Not to tear the priestly garments,Shemos 28:32,tzitzit; tefillin,0.360,False,NEEDS VERIFICATION
Source_Mismatch,116,Positive 102,"We are commanded to administer the laws of the impurity of a garment that has <i>tzaraas</i>, such that it be impure.",Vayikra 23:24,318,The Kohanim must wear their priestly garments during service,Shemos 28:2,tzitzit; tefillin,0.328,False,NEEDS VERIFICATION
Source_Mismatch,139,Positive 125,We are commanded to extract the first-fruits and bring them to the Temple.,Bereishis 1:28,270,To set aside the first fruits and bring them to the Temple,Shemos 23:19,temple,0.773,False,NEEDS VERIFICATION
Source_Mismatch,139,Positive 125,We are commanded to extract the first-fruits and bring them to the Temple.,Bereishis 1:28,356,The Kohanim must eat the sacrificial meat in the Temple,Shemos 29:33,temple,0.512,False,NEEDS VERIFICATION
Source_Mismatch,143,Positive 129,We are commanded regarding the garments of the High Priest.,Devarim 25:9,449,"The metzora must publicize his condition by tearing his garments, allowing his hair to grow and covering his mustache",Vayikra 13:45,tzitzit; tefillin,0.420,False,NEEDS VERIFICATION
Source_Mismatch,157,Positive 143,"We are commanded to give to the priest, the shoulder, the cheeks and the stomach from every sacrifice of pure animals that we slaughter.",Vayikra 18:10,274,"To give the shoulder, two cheeks, and stomach of slaughtered animals to a Kohen",Devarim 18:3,priestly,0.567,False,NEEDS VERIFICATION
Source_Mismatch,158,Positive 144,We are commanded to give the first shearing to the priest.,Vayikra 18:10,275,To give the first shearing of sheep to a Kohen,Devarim 18:4,priestly,0.615,False,NEEDS VERIFICATION
Source_Mismatch,168,Positive 154,We are commanded to rest on Shabbos.,Vayikra 18:18,100,To rest on Shavuot,Vayikra 23:21,sabbath,0.556,False,NEEDS VERIFICATION
Source_Mismatch,173,Positive 159,We are commanded to rest on the first day of Pesach.,Vayikra 18:14,96,To rest on the first day of Passover,Vayikra 23:8,sabbath,0.682,False,NEEDS VERIFICATION
Source_Mismatch,173,Positive 159,We are commanded to rest on the first day of Pesach.,Vayikra 18:14,98,To rest on the seventh day of Passover,Vayikra 23:8,sabbath,0.600,False,NEEDS VERIFICATION
Source_Mismatch,173,Positive 159,We are commanded to rest on the first day of Pesach.,Vayikra 18:14,87,To rest on the seventh day,Shemos 23:12,sabbath,0.538,False,NEEDS VERIFICATION
Source_Mismatch,174,Positive 160,We are commanded to rest from work on the seventh [day] of Pesach.,Vayikra 18:20,98,To rest on the seventh day of Passover,Vayikra 23:8,sabbath,0.615,False,NEEDS VERIFICATION
Source_Mismatch,174,Positive 160,We are commanded to rest from work on the seventh [day] of Pesach.,Vayikra 18:20,99,Not to do prohibited labor on the seventh day of Passover,Vayikra 23:8,sabbath,0.585,False,NEEDS VERIFICATION
Source_Mismatch,174,Positive 160,We are commanded to rest from work on the seventh [day] of Pesach.,Vayikra 18:20,87,To rest on the seventh day,Shemos 23:12,sabbath,0.565,False,NEEDS VERIFICATION
Source_Mismatch,177,Positive 163,We are commanded to rest from work on the First of Tishrei.,Devarim 23:4,96,To rest on the first day of Passover,Vayikra 23:8,sabbath,0.547,False,NEEDS VERIFICATION
Source_Mismatch,179,Positive 165,We are commanded to rest from work and [certain] actions on Yom Kippur.,Devarim 23:8-9,92,To rest from prohibited labor on Yom Kippur,Vayikra 23:32,sabbath,0.509,False,NEEDS VERIFICATION
Source_Mismatch,180,Positive 166,We are commanded to rest from work on the first day of Sukkos.,Devarim 23:3,96,To rest on the first day of Passover,Vayikra 23:8,sabbath,0.612,False,NEEDS VERIFICATION
Source_Mismatch,180,Positive 166,We are commanded to rest from work on the first day of Sukkos.,Devarim 23:3,98,To rest on the seventh day of Passover,Vayikra 23:8,sabbath,0.540,False,NEEDS VERIFICATION
Source_Mismatch,180,Positive 166,We are commanded to rest from work on the first day of Sukkos.,Devarim 23:3,99,Not to do prohibited labor on the seventh day of Passover,Vayikra 23:8,sabbath,0.521,False,NEEDS VERIFICATION
Source_Mismatch,212,Positive 198,We are commanded to demand interest from idolaters.,Vayikra 23:14,537,Lend to and borrow from idolaters with interest,Devarim 23:21,sabbath,0.551,False,NEEDS VERIFICATION
Source_Mismatch,215,Positive 201,Not to eat diverse seeds planted in a vineyard,Devarim 22:9,263,Not to eat the Second Tithe while impure,Devarim 26:14,dietary,0.535,False,NEEDS VERIFICATION
Source_Mismatch,215,Positive 201,Not to eat diverse seeds planted in a vineyard,Devarim 22:9,191,Not to eat a limb torn off a living creature,Devarim 12:23,dietary,0.511,False,NEEDS VERIFICATION
Source_Mismatch,223,Positive 209,Not to swear falsely in G‑d's Name,Vayikra 19:12,44,Not to prophesize falsely in the name of G‑d,Devarim 18:20,deity,0.667,False,NEEDS VERIFICATION
Source_Mismatch,223,Positive 209,Not to swear falsely in G‑d's Name,Vayikra 19:12,210,Not to take G‑d's Name in vain,Shemos 20:7,deity,0.594,False,NEEDS VERIFICATION
Source_Mismatch,224,Positive 210,Not to take G‑d's Name in vain,Shemos 20:7,209,Not to swear falsely in G‑d's Name,Vayikra 19:12,deity,0.625,False,NEEDS VERIFICATION
Source_Mismatch,237,Positive 223,He must not eat grape skins,Bamidbar 6:4,221,He must not eat raisins,Bamidbar 6:3,dietary,0.880,False,NEEDS VERIFICATION
Source_Mismatch,289,Negative 26,"To give the shoulder, two cheeks, and stomach of slaughtered animals to a Kohen",Devarim 18:3,275,To give the first shearing of sheep to a Kohen,Devarim 18:4,priestly,0.576,False,NEEDS VERIFICATION
Source_Mismatch,290,Negative 27,To give the first shearing of sheep to a Kohen,Devarim 18:4,277,To redeem the firstborn donkey by giving a lamb to a Kohen,Shemos 13:13,priestly,0.615,False,NEEDS VERIFICATION
Source_Mismatch,290,Negative 27,To give the first shearing of sheep to a Kohen,Devarim 18:4,274,"To give the shoulder, two cheeks, and stomach of slaughtered animals to a Kohen",Devarim 18:3,priestly,0.560,False,NEEDS VERIFICATION
Source_Mismatch,305,Negative 42,"We are prohibited from wearing a garment woven of wool and linen, like that which would be worn by the idolatrous priests at that time.",Vayikra 25:9,449,"The metzora must publicize his condition by tearing his garments, allowing his hair to grow and covering his mustache",Vayikra 13:45,tzitzit; tefillin,0.357,False,NEEDS VERIFICATION
Source_Mismatch,306,Negative 43,We are prohibited from removing the hair of the temples.,Vayikra 25:11,270,To set aside the first fruits and bring them to the Temple,Shemos 23:19,temple,0.544,False,NEEDS VERIFICATION
Source_Mismatch,330,Negative 67,No Levite must do another's work of either a Kohen or a Levite,Bamidbar 18:3,253,The Levite must set aside a tenth of his tithe for the Kohen,Bamidbar 18:26,priestly,0.557,False,NEEDS VERIFICATION
Source_Mismatch,330,Negative 67,No Levite must do another's work of either a Kohen or a Levite,Bamidbar 18:3,316,To dedicate the Kohen for service,Vayikra 21:8,priestly,0.505,False,NEEDS VERIFICATION
Source_Mismatch,331,Negative 68,"We are prohibited from he prohibited the high priest from entering the temple at any time, due to the glory of the temple and its greatness, and [that] he should be afraid and scared of the divine presence.",Vayikra 21:8,324,A Kohen must not enter the sanctuary of the Temple indiscriminately,Vayikra 16:2,priestly; temple,0.374,False,NEEDS VERIFICATION
Source_Mismatch,332,Negative 69,"We are prohibited from a priest with a blemish to enter the temple - meaning to say the altar, between the [entrance] hall and the altar and the sanctuary.",Devarim 18:6-8,321,A Kohen must not enter the Temple intoxicated,Vayikra 10:9,priestly; temple,0.360,False,NEEDS VERIFICATION
Source_Mismatch,332,Negative 69,"We are prohibited from a priest with a blemish to enter the temple - meaning to say the altar, between the [entrance] hall and the altar and the sanctuary.",Devarim 18:6-8,323,A Kohen must not enter the Temple with torn clothes,Vayikra 10:6,priestly; temple,0.359,False,NEEDS VERIFICATION
Source_Mismatch,332,Negative 69,"We are prohibited from a priest with a blemish to enter the temple - meaning to say the altar, between the [entrance] hall and the altar and the sanctuary.",Devarim 18:6-8,332,A Kohen with a physical blemish must not enter the sanctuary or approach the altar,Vayikra 21:23,priestly; temple,0.354,False,NEEDS VERIFICATION
Source_Mismatch,334,Negative 71,We are prohibited from a priest with a temporary blemish - such as scurvy or a scab or that which is similar to them - to serve [in the temple] so long as he has the blemish.,Shemos 28:32,334,A Kohen with a temporary blemish must not serve,Vayikra 21:18,priestly; worship,0.362,False,NEEDS VERIFICATION
Source_Mismatch,334,Negative 71,We are prohibited from a priest with a temporary blemish - such as scurvy or a scab or that which is similar to them - to serve [in the temple] so long as he has the blemish.,Shemos 28:32,332,A Kohen with a physical blemish must not enter the sanctuary or approach the altar,Vayikra 21:23,priestly; temple,0.344,False,NEEDS VERIFICATION
Source_Mismatch,336,Negative 73,A Kohen must not enter the Temple intoxicated,Vayikra 10:9,323,A Kohen must not enter the Temple with torn clothes,Vayikra 10:6,priestly; temple,0.833,False,NEEDS VERIFICATION
Source_Mismatch,336,Negative 73,A Kohen must not enter the Temple intoxicated,Vayikra 10:9,322,A Kohen must not enter the Temple with long hair,Vayikra 10:6,priestly; temple,0.796,False,NEEDS VERIFICATION
Source_Mismatch,340,Negative 77,We are prohibited from eating a limb torn from a living animal.,Vayikra 10:7,191,Not to eat a limb torn off a living creature,Devarim 12:23,dietary,0.579,False,NEEDS VERIFICATION
Source_Mismatch,346,Negative 83,A Kohen must wash his hands and feet before service,Shemos 30:19,590,A Kohen must not defile himself for anyone except relatives,Vayikra 21:1,priestly,0.527,False,NEEDS VERIFICATION
Source_Mismatch,346,Negative 83,A Kohen must wash his hands and feet before service,Shemos 30:19,325,A Kohen must not leave the Temple during service,Vayikra 10:7,priestly,0.525,False,NEEDS VERIFICATION
Source_Mismatch,382,Negative 119,We are prohibited from leaving over any of the meat of the Second Pesach-offering until the morning.,Devarim 12:5-6,419,Not to leave the meat of the holiday offering of the 14th until the 16th,Devarim 16:4,dietary,0.547,False,NEEDS VERIFICATION
Source_Mismatch,382,Negative 119,We are prohibited from leaving over any of the meat of the Second Pesach-offering until the morning.,Devarim 12:5-6,418,Not to leave the second Paschal meat over until morning,Bamidbar 9:12,dietary,0.529,False,NEEDS VERIFICATION
Source_Mismatch,383,Negative 120,We are prohibited from leaving over any of the meat of the thanksgiving-offering until the morning.,Devarim 23:22,419,Not to leave the meat of the holiday offering of the 14th until the 16th,Devarim 16:4,dietary,0.538,False,NEEDS VERIFICATION
Source_Mismatch,397,Negative 134,"We are prohibited from he prohibited a tenant of a priest, or his hired servant from eating the priestly tithe.",Bamidbar 28:11,364,The meal offering of a Priest should not be eaten,Vayikra 6:16,priestly; dietary,0.388,False,NEEDS VERIFICATION
Source_Mismatch,398,Negative 135,We are prohibited from he prohibited an uncircumcised one from eating the priestly tithe.,Bamidbar 28:19,257,An uncircumcised Kohen must not eat Terumah,Shemos 12:48,priestly; dietary; circumcision,0.424,False,NEEDS VERIFICATION
Source_Mismatch,398,Negative 135,We are prohibited from he prohibited an uncircumcised one from eating the priestly tithe.,Bamidbar 28:19,414,An uncircumcised male must not eat from it,Shemos 12:48,dietary; circumcision,0.412,False,NEEDS VERIFICATION
Source_Mismatch,401,Negative 138,We are prohibited from eating a meal-offering of a priest.,Bamidbar 28:26,379,The High Priest must bring a meal offering every day,Vayikra 6:13,priestly,0.527,False,NEEDS VERIFICATION
Source_Mismatch,401,Negative 138,We are prohibited from eating a meal-offering of a priest.,Bamidbar 28:26,364,The meal offering of a Priest should not be eaten,Vayikra 6:16,priestly; dietary,0.486,False,NEEDS VERIFICATION
Source_Mismatch,402,Negative 139,We are prohibited from he prohibited the priests from eating the meat of sin-offerings processed inside [the sanctuary].,Vayikra 23:18,357,The Kohanim must not eat the meat outside the Temple courtyard,Devarim 12:17,dietary; temple,0.407,False,NEEDS VERIFICATION
Source_Mismatch,404,Negative 141,"We are prohibited from eating the second tithe from grain, outside of Jerusalem.",Bamidbar 29:8,265,Not to eat Second Tithe grains outside Jerusalem,Devarim 12:17,dietary,0.672,False,NEEDS VERIFICATION
