Sequential_Number,Mitzvah_Type,Old_Source,New_Source,Master_List_Number,Summary_Updated,Old_Summary,New_Summary
28,Positive 14,Devarim 10:19,Bamidbar 15:38,84,False,,
19,Positive 5,Devarim 10:20,Shemos 23:25,77,False,,
33,Positive 19,Vayikra 19:16,Devarim 8:10,85,False,,
139,Positive 125,Bereishis 1:28,Shemos 23:19,270,False,,
94,Positive 80,Devarim 6:8,Bamidbar 18:15,276,False,,
104,Positive 90,Shemos 16:29,Shemos 30:19,331,False,,
98,Positive 84,Bamidbar 15:38,Devarim 12:11,369,False,,
158,Positive 144,Vayikra 18:10,Devarim 18:4,275,False,,
173,Positive 159,Vayikra 18:14,Vayikra 23:8,96,False,,
174,Positive 160,Vayikra 18:20,Vayikra 23:8,98,False,,
